start_index,end_index,time_start,time_end,time_peak,duration_hr,peak_swh_m,mean_swh_m,year,month,origin,hurdat_name,hurdat_status,hurdat_wind_kt,hurdat_dt_hr,hurdat_dist_km
112415,112466,2012-10-27 23:00:00,2012-10-30 01:00:00,2012-10-29 15:00:00,51,9.924222946166992,8.802469253540039,2012,10,TC,Sandy,HU,85.0,-3.0,446.48973798999265
113958,113977,2012-12-31 06:00:00,2013-01-01 00:00:00,2012-12-31 15:00:00,19,8.576129913330078,8.204090118408203,2012,12,ET,,,,,
114918,114946,2013-02-09 06:00:00,2013-02-10 09:00:00,2013-02-09 09:00:00,28,8.379562377929688,8.049074172973633,2013,2,ET,,,,,
115125,115162,2013-02-17 21:00:00,2013-02-19 09:00:00,2013-02-18 03:00:00,37,9.430768013000488,8.535938262939453,2013,2,ET,,,,,
115581,115607,2013-03-08 21:00:00,2013-03-09 22:00:00,2013-03-09 13:00:00,26,8.364290237426758,8.109816551208496,2013,3,ET,,,,,
123805,123825,2014-02-14 13:00:00,2014-02-15 08:00:00,2014-02-15 05:00:00,20,9.153705596923828,8.374252319335938,2014,2,ET,,,,,
123850,123862,2014-02-16 10:00:00,2014-02-16 21:00:00,2014-02-16 15:00:00,12,8.765811920166016,8.224309921264648,2014,2,ET,,,,,
124765,124794,2014-03-26 13:00:00,2014-03-27 17:00:00,2014-03-27 02:00:00,29,11.998464584350586,10.064276695251465,2014,3,ET,,,,,
132495,132510,2015-02-11 15:00:00,2015-02-12 05:00:00,2015-02-11 23:00:00,15,8.234018325805664,8.003033638000488,2015,2,ET,,,,,
132590,132629,2015-02-15 14:00:00,2015-02-17 04:00:00,2015-02-16 00:00:00,39,9.600086212158203,8.925589561462402,2015,2,ET,,,,,
133333,133354,2015-03-18 13:00:00,2015-03-19 09:00:00,2015-03-18 19:00:00,21,8.932415008544922,8.486815452575684,2015,3,ET,,,,,
141174,141202,2016-02-08 06:00:00,2016-02-09 09:00:00,2016-02-08 23:00:00,28,9.848649024963379,8.886807441711426,2016,2,ET,,,,,
141798,141816,2016-03-05 06:00:00,2016-03-05 23:00:00,2016-03-05 15:00:00,18,8.62639045715332,8.19802188873291,2016,3,ET,,,,,
148663,148680,2016-12-16 07:00:00,2016-12-16 23:00:00,2016-12-16 16:00:00,17,9.21175765991211,8.587671279907227,2016,12,ET,,,,,
150091,150116,2017-02-13 19:00:00,2017-02-14 19:00:00,2017-02-14 06:00:00,25,10.527400016784668,9.274728775024414,2017,2,ET,,,,,
157884,157942,2018-01-04 12:00:00,2018-01-06 21:00:00,2018-01-05 02:00:00,58,11.63503646850586,9.131101608276367,2018,1,ET,,,,,
159260,159358,2018-03-02 20:00:00,2018-03-06 21:00:00,2018-03-03 18:00:00,98,10.488992691040039,9.128993034362793,2018,3,ET,,,,,
159517,159545,2018-03-13 13:00:00,2018-03-14 16:00:00,2018-03-14 06:00:00,28,11.102943420410156,9.692639350891113,2018,3,ET,,,,,
159842,159865,2018-03-27 02:00:00,2018-03-28 00:00:00,2018-03-27 10:00:00,23,9.012296676635742,8.499503135681152,2018,3,ET,,,,,
167899,167943,2019-02-25 19:00:00,2019-02-27 14:00:00,2019-02-26 09:00:00,44,9.537117958068848,8.504134178161621,2019,2,ET,,,,,
172544,172562,2019-09-07 08:00:00,2019-09-08 01:00:00,2019-09-07 19:00:00,18,8.86996078491211,8.263005256652832,2019,9,TC,Dorian,LO,80.0,-1.0,1261.49281857778
174535,174553,2019-11-29 07:00:00,2019-11-30 00:00:00,2019-11-29 16:00:00,18,8.919809341430664,8.3700532913208,2019,11,ET,,,,,
175716,175743,2020-01-17 12:00:00,2020-01-18 14:00:00,2020-01-18 05:00:00,27,8.93268871307373,8.493364334106445,2020,1,ET,,,,,
176912,176933,2020-03-07 08:00:00,2020-03-08 04:00:00,2020-03-07 16:00:00,21,10.028937339782715,9.07792854309082,2020,3,ET,,,,,
181674,181711,2020-09-21 18:00:00,2020-09-23 06:00:00,2020-09-22 15:00:00,37,11.305066108703613,9.637397766113281,2020,9,TC,Teddy,HU,90.0,-3.0,1147.4401757699734
184777,184818,2021-01-29 01:00:00,2021-01-30 17:00:00,2021-01-29 10:00:00,41,9.597980499267578,8.318511962890625,2021,1,ET,,,,,
185559,185579,2021-03-02 15:00:00,2021-03-03 10:00:00,2021-03-03 03:00:00,20,9.47681999206543,8.90012264251709,2021,3,ET,,,,,
193203,193220,2022-01-15 03:00:00,2022-01-15 19:00:00,2022-01-15 10:00:00,17,8.928507804870605,8.5724458694458,2022,1,ET,,,,,
194572,194587,2022-03-13 04:00:00,2022-03-13 18:00:00,2022-03-13 09:00:00,15,8.113080978393555,7.917829990386963,2022,3,ET,,,,,
199224,199258,2022-09-23 00:00:00,2022-09-24 09:00:00,2022-09-23 21:00:00,34,9.36609935760498,8.451967239379883,2022,9,TC,Fiona,HU,110.0,-3.0,1266.6036142005644
202447,202465,2023-02-04 07:00:00,2023-02-05 00:00:00,2023-02-04 14:00:00,18,9.098723411560059,8.53731632232666,2023,2,ET,,,,,
202519,202537,2023-02-07 07:00:00,2023-02-08 00:00:00,2023-02-07 14:00:00,18,8.854328155517578,8.410848617553711,2023,2,ET,,,,,
203313,203325,2023-03-12 09:00:00,2023-03-12 20:00:00,2023-03-12 16:00:00,12,8.028648376464844,7.859548568725586,2023,3,ET,,,,,
207776,207832,2023-09-14 08:00:00,2023-09-16 15:00:00,2023-09-16 07:00:00,56,9.264504432678223,8.39680290222168,2023,9,TC,Lee,EX,70.0,-1.0,1043.246074779127
210055,210085,2023-12-18 07:00:00,2023-12-19 12:00:00,2023-12-18 22:00:00,30,9.806405067443848,8.7788667678833,2023,12,ET,,,,,
210605,210623,2024-01-10 05:00:00,2024-01-10 22:00:00,2024-01-10 13:00:00,18,8.428359031677246,8.14718246459961,2024,1,ET,,,,,
220314,220345,2025-02-17 18:00:00,2025-02-19 00:00:00,2025-02-18 15:00:00,31,9.223788261413574,8.740035057067871,2025,2,ET,,,,,
224724,224787,2025-08-20 12:00:00,2025-08-23 02:00:00,2025-08-22 17:00:00,63,9.8441162109375,9.015374183654785,2025,8,TC,Erin,EX,80.0,1.0,1330.1155704296584
