mae,rmse,bias,r2,n,target,split,lead,model,stratum
0.04560086131095886,0.07940355688333511,4.129493026994169e-05,0.9949077367782593,38718789,swh,val,1,persistence,all
0.7343268990516663,1.0114191770553589,0.008592135272920132,0.1737910509109497,38718997,swh,val,1,climatology,all
0.02243824303150177,0.03511232137680054,0.001211953698657453,0.989028811454773,19359868,swh,val,1,persistence,P0-50
0.6640576720237732,0.7572330832481384,0.6351879835128784,-4.102382183074951,19360071,swh,val,1,climatology,P0-50
0.05465596169233322,0.0797266736626625,0.0003316834045108408,0.9701113104820251,15487430,swh,val,1,persistence,P50-90
0.4493499994277954,0.5730276703834534,-0.21615509688854218,-0.5440131425857544,15487435,swh,val,1,climatology,P50-90
0.11653178185224533,0.15992464125156403,-0.005200612358748913,0.935894250869751,3484367,swh,val,1,persistence,P90-99
1.9657992124557495,2.072723627090454,-1.9657992124557495,-9.768349647521973,3484367,swh,val,1,climatology,P90-99
0.20326544344425201,0.2905980050563812,-0.022939570248126984,0.914711594581604,387124,swh,val,1,persistence,P99+
4.565335750579834,4.672634124755859,-4.565335750579834,-21.050996780395508,387124,swh,val,1,climatology,P99+
0.12541069090366364,0.2137153595685959,0.00014068001473788172,0.9631040692329407,38709531,swh,val,3,persistence,all
0.7342952489852905,1.011337399482727,0.008702664636075497,0.17378324270248413,38710155,swh,val,3,climatology,all
0.0602237693965435,0.08850578963756561,0.008073416538536549,0.9302877187728882,19356203,swh,val,3,persistence,P0-50
0.6640890836715698,0.75726318359375,0.6352248191833496,-4.102749347686768,19356801,swh,val,3,climatology,P0-50
0.14961527287960052,0.2087099254131317,0.003273489186540246,0.7951691150665283,15483606,swh,val,3,persistence,P50-90
0.44933927059173584,0.5730111002922058,-0.21612507104873657,-0.5439586639404297,15483632,swh,val,3,climatology,P50-90
0.32826587557792664,0.4403832256793976,-0.03831503167748451,0.513861358165741,3482919,swh,val,3,persistence,P90-99
1.9657988548278809,2.0727107524871826,-1.9657988548278809,-9.769014358520508,3482919,swh,val,3,climatology,P90-99
0.59197598695755,0.8300102353096008,-0.17596116662025452,0.30457526445388794,386803,swh,val,3,persistence,P99+
4.565423488616943,4.672774314880371,-4.565423488616943,-21.041080474853516,386803,swh,val,3,climatology,P99+
0.22870108485221863,0.38316211104393005,0.00032205466413870454,0.881355345249176,38695644,swh,val,6,persistence,all
0.7342179417610168,1.0111325979232788,0.008905627764761448,0.17379134893417358,38696892,swh,val,6,climatology,all
0.10827209800481796,0.15625108778476715,0.025322234258055687,0.7827012538909912,19351050,swh,val,6,persistence,P0-50
0.6641290187835693,0.7573031783103943,0.6352794170379639,-4.103271007537842,19352238,swh,val,6,climatology,P0-50
0.2716943621635437,0.3693608343601227,0.011956064961850643,0.3584650158882141,15477686,swh,val,6,persistence,P50-90
0.4493273198604584,0.572989821434021,-0.21608205139636993,-0.5438786745071411,15477746,swh,val,6,climatology,P50-90
0.6077419519424438,0.7986537218093872,-0.12676195800304413,-0.5991233587265015,3480833,swh,val,6,persistence,P90-99
1.9657498598098755,2.072641372680664,-1.9657498598098755,-9.769940376281738,3480833,swh,val,6,climatology,P90-99
1.1238982677459717,1.5069736242294312,-0.5733723044395447,-1.2895574569702148,386075,swh,val,6,persistence,P99+
4.5652995109558105,4.672778129577637,-4.5652995109558105,-21.013572692871094,386075,swh,val,6,climatology,P99+
0.39289382100105286,0.6385551691055298,0.0008052009507082403,0.6700292229652405,38667872,swh,val,12,persistence,all
0.7339392304420471,1.0104097127914429,0.009447810240089893,0.17385423183441162,38670368,swh,val,12,climatology,all
0.1893935203552246,0.27650800347328186,0.07192488759756088,0.3193563222885132,19341462,swh,val,12,persistence,P0-50
0.6641969084739685,0.7573758363723755,0.6353746652603149,-4.104323863983154,19343787,swh,val,12,climatology,P0-50
0.4632638096809387,0.62128746509552,0.03488568216562271,-0.8153179883956909,15465865,swh,val,12,persistence,P50-90
0.4492650330066681,0.5729003548622131,-0.21595264971256256,-0.5435725450515747,15466035,swh,val,12,climatology,P50-90
1.0347331762313843,1.308956265449524,-0.37658315896987915,-3.2966713905334473,3476902,swh,val,12,persistence,P90-99
1.9656203985214233,2.0724575519561768,-1.9656203985214233,-9.770929336547852,3476903,swh,val,12,climatology,P90-99
1.9986788034439087,2.4808335304260254,-1.5383877754211426,-5.184046745300293,383643,swh,val,12,persistence,P99+
4.564133644104004,4.671985626220703,-4.564133644104004,-20.93211555480957,383643,swh,val,12,climatology,P99+
0.6059167981147766,0.9451402425765991,0.0017911674221977592,0.27426040172576904,38612732,swh,val,24,persistence,all
0.7331691980361938,1.0084270238876343,0.010776557959616184,0.1738678216934204,38617318,swh,val,24,climatology,all
0.32103675603866577,0.488386332988739,0.17512646317481995,-1.124528169631958,19323226,swh,val,24,persistence,P0-50
0.6643380522727966,0.7575231194496155,0.6355381011962891,-4.107448577880859,19327398,swh,val,24,climatology,P0-50
0.7017163634300232,0.9514279961585999,0.05932055413722992,-3.2582168579101562,15445529,swh,val,24,persistence,P50-90
0.44920507073402405,0.5728076100349426,-0.21574774384498596,-0.5434671640396118,15445932,swh,val,24,climatology,P50-90
1.4878790378570557,1.7767112255096436,-0.896548330783844,-6.919052600860596,3465888,swh,val,24,persistence,P90-99
1.9653077125549316,2.0720629692077637,-1.9653077125549316,-9.770753860473633,3465899,swh,val,24,climatology,P90-99
3.167079448699951,3.6223483085632324,-2.972177505493164,-12.162450790405273,378089,swh,val,24,persistence,P99+
4.557533264160156,4.66596794128418,-4.557533264160156,-20.83935546875,378089,swh,val,24,climatology,P99+
0.7881052494049072,1.1759079694747925,0.0016291951760649681,-0.12716472148895264,38503426,swh,val,48,persistence,all
0.7326557636260986,1.0069764852523804,0.011967874132096767,0.17353010177612305,38511116,swh,val,48,climatology,all
0.4922727942466736,0.7755831480026245,0.3269319534301758,-4.3638105392456055,19279091,swh,val,48,persistence,P0-50
0.6645318865776062,0.7577521204948425,0.635739266872406,-4.113381862640381,19286343,swh,val,48,climatology,P0-50
