model,scheme,mae,rmse,r2,n
3D U-Net,ocean only (ours),0.021111076573707928,0.037755481168744796,0.9988060676730329,8088826
3D U-Net,"all points, land=0 (paper)",0.015237714540126833,0.0320763346358987,0.9993301255185523,11206656
persistence,ocean only (ours),0.043194967856039324,0.07681164643497314,0.9950583288556837,8088826
persistence,"all points, land=0 (paper)",0.031177594731478787,0.06525770560228424,0.9972273978009347,11206656
