mae,rmse,bias,r2,n,target,split,lead,model,stratum
0.0764789804816246,0.11104026436805725,-1.6772086382843554e-05,0.992238461971283,38718789,mp2,val,1,persistence,all
0.838320791721344,1.0593069791793823,0.012523495592176914,0.2936508059501648,38718997,mp2,val,1,climatology,all
0.0682913213968277,0.09873583912849426,0.0041640871204435825,0.9786474704742432,19359455,mp2,val,1,persistence,P0-50
0.8202986121177673,0.9403245449066162,0.7502361536026001,-0.9365055561065674,19359652,mp2,val,1,climatology,P0-50
0.08299732953310013,0.11916303634643555,-0.0029293822590261698,0.9427453279495239,15487335,mp2,val,1,persistence,P50-90
0.5456148386001587,0.6931531429290771,-0.38168543577194214,-0.9372532367706299,15487341,mp2,val,1,climatology,P50-90
0.09045198559761047,0.1308208554983139,-0.008501559495925903,0.9124868512153625,3484786,mp2,val,1,persistence,P90-99
1.945971965789795,2.0104990005493164,-1.945971965789795,-19.66936683654785,3484791,mp2,val,1,climatology,P90-99
0.09936947375535965,0.15341152250766754,-0.016191108152270317,0.8966525197029114,387213,mp2,val,1,persistence,P99+
3.478231191635132,3.5218734741210938,-3.478231191635132,-53.46675109863281,387213,mp2,val,1,climatology,P99+
0.20616775751113892,0.2910310924053192,-3.754751742235385e-05,0.946683406829834,38709531,mp2,val,3,persistence,all
0.8383585214614868,1.059348702430725,0.0125202015042305,0.2936309576034546,38710155,mp2,val,3,climatology,all
0.18440400063991547,0.26348021626472473,0.02884688973426819,0.8479268550872803,19355039,mp2,val,3,persistence,P0-50
0.8203170895576477,0.940343976020813,0.7502663731575012,-0.9365500211715698,19355628,mp2,val,3,climatology,P0-50
0.22188860177993774,0.3079507648944855,-0.019921453669667244,0.6176320314407349,15483236,mp2,val,3,persistence,P50-90
0.5456451177597046,0.6931806206703186,-0.3817249834537506,-0.937366247177124,15483254,mp2,val,3,climatology,P50-90
0.24881987273693085,0.3414691090583801,-0.06008221209049225,0.4037911891937256,3484059,mp2,val,3,persistence,P90-99
1.9460264444351196,2.0105528831481934,-1.9460264444351196,-19.669353485107422,3484076,mp2,val,3,climatology,P90-99
0.28164902329444885,0.3950328528881073,-0.10849156975746155,0.31476300954818726,387197,mp2,val,3,persistence,P99+
3.4782540798187256,3.521895408630371,-3.4782540798187256,-53.46622848510742,387197,mp2,val,3,climatology,P99+
0.3581441342830658,0.497456818819046,-3.565105362213217e-05,0.8442259430885315,38695644,mp2,val,6,persistence,all
0.838405430316925,1.0593982934951782,0.012538684532046318,0.2936062216758728,38696892,mp2,val,6,climatology,all
0.3157986104488373,0.44678136706352234,0.08385274559259415,0.5626688003540039,19348606,mp2,val,6,persistence,P0-50
0.8203477263450623,0.9403753876686096,0.7503159642219543,-0.9365838766098022,19349784,mp2,val,6,climatology,P0-50
0.38398951292037964,0.5209777355194092,-0.05493657663464546,-0.0943150520324707,15477104,mp2,val,6,persistence,P50-90
0.545685887336731,0.6932220458984375,-0.38177379965782166,-0.9375317096710205,15477139,mp2,val,6,climatology,P50-90
0.45702359080314636,0.6105150580406189,-0.1846620887517929,-0.9056648015975952,3482737,mp2,val,6,persistence,P90-99
1.9460670948028564,2.010590076446533,-1.9460670948028564,-19.6682186126709,3482772,mp2,val,6,climatology,P90-99
0.5516996383666992,0.744521975517273,-0.3368435204029083,-1.4340498447418213,387197,mp2,val,6,persistence,P99+
3.4782540798187256,3.521895408630371,-3.4782540798187256,-53.46622848510742,387197,mp2,val,6,climatology,P99+
0.5658940076828003,0.7692791819572449,8.309452096000314e-05,0.6274139285087585,38667872,mp2,val,12,persistence,all
0.8384270668029785,1.0593832731246948,0.012706016190350056,0.29358333349227905,38670368,mp2,val,12,climatology,all
0.48048534989356995,0.6647484302520752,0.1946444809436798,0.03160679340362549,19336665,mp2,val,12,persistence,P0-50
0.8204046487808228,0.9404252171516418,0.7504257559776306,-0.9366223812103271,19339033,mp2,val,12,climatology,P0-50
0.6044336557388306,0.7945023775100708,-0.11118055880069733,-1.5450363159179688,15464900,mp2,val,12,persistence,P50-90
0.5457412600517273,0.6932857036590576,-0.3818034827709198,-0.9378862380981445,15464957,mp2,val,12,climatology,P50-90
0.809264063835144,1.0462548732757568,-0.48381227254867554,-4.599574089050293,3479310,mp2,val,12,persistence,P90-99
1.9458808898925781,2.010373830795288,-1.9458808898925781,-19.674713134765625,3479381,mp2,val,12,climatology,P90-99
1.1052964925765991,1.4087227582931519,-0.9246397614479065,-7.712854385375977,386997,mp2,val,12,persistence,P99+
3.478389263153076,3.522045373916626,-3.478389263153076,-53.46271514892578,386997,mp2,val,12,climatology,P99+
0.8005045652389526,1.0638796091079712,0.0005479209939949214,0.28669244050979614,38612732,mp2,val,24,persistence,all
0.8382454514503479,1.0589851140975952,0.013354957103729248,0.2935265302658081,38617318,mp2,val,24,climatology,all
0.6579209566116333,0.8926413655281067,0.35631680488586426,-0.7473578453063965,19315712,mp2,val,24,persistence,P0-50
0.8205028772354126,0.9405199289321899,0.7505747079849243,-0.9372724294662476,19320060,mp2,val,24,climatology,P0-50
0.8351985812187195,1.059103012084961,-0.1676846444606781,-3.522397518157959,15440722,mp2,val,24,persistence,P50-90
0.5457680225372314,0.6933425664901733,-0.3817092478275299,-0.9381580352783203,15440883,mp2,val,24,climatology,P50-90
1.300385594367981,1.590118646621704,-1.0109857320785522,-11.954079627990723,3472335,mp2,val,24,persistence,P90-99
1.9454303979873657,2.009849786758423,-1.9454303979873657,-19.695730209350586,3472412,mp2,val,24,climatology,P90-99
2.0575225353240967,2.400709867477417,-1.9837937355041504,-24.176939010620117,383963,mp2,val,24,persistence,P99+
3.4798924922943115,3.5237820148468018,-3.4798924922943115,-53.24274826049805,383963,mp2,val,24,climatology,P99+
0.9934982657432556,1.2972943782806396,0.0008911248296499252,-0.06360232830047607,38503426,mp2,val,48,persistence,all
0.8377542495727539,1.057774543762207,0.014410140924155712,0.2933785319328308,38511116,mp2,val,48,climatology,all
0.8320897817611694,1.1227062940597534,0.5298922657966614,-1.7674293518066406,19266175,mp2,val,48,persistence,P0-50
0.8207008242607117,0.9407272338867188,0.7507950067520142,-0.93858802318573,19273739,mp2,val,48,climatology,P0-50
0.9830905199050903,1.2146705389022827,-0.24658581614494324,-4.9480509757995605,15399994,mp2,val,48,persistence,P50-90
0.545967698097229,0.693577229976654,-0.38173508644104004,-0.9393165111541748,15400120,mp2,val,48,climatology,P50-90
1.7148761749267578,1.9914157390594482,-1.512755274772644,-19.35109519958496,3462650,mp2,val,48,persistence,P90-99
1.9447989463806152,2.009147882461548,-1.9447989463806152,-19.71513557434082,3462650,mp2,val,48,climatology,P90-99
3.054670572280884,3.293046712875366,-3.0408501625061035,-46.275238037109375,374607,mp2,val,48,persistence,P99+
3.477651596069336,3.522125005722046,-3.477651596069336,-53.08134460449219,374607,mp2,val,48,climatology,P99+
0.07380787283182144,0.10707959532737732,-1.6854520481501822e-06,0.9927095174789429,48584860,mp2,test,1,persistence,all
0.8262612223625183,1.0452194213867188,0.05396609380841255,0.3053714632987976,48585043,mp2,test,1,climatology,all
0.06618388742208481,0.0952175036072731,0.003950684797018766,0.9803158640861511,24292526,mp2,test,1,persistence,P0-50
0.8355640769004822,0.9552576541900635,0.7678385376930237,-0.9810934066772461,24292699,mp2,test,1,climatology,P0-50
0.07958357036113739,0.11432724446058273,-0.0027839895337820053,0.9458209872245789,19433844,mp2,test,1,persistence,P50-90
0.5108299851417542,0.6473960280418396,-0.3145277500152588,-0.7372872829437256,19433851,mp2,test,1,climatology,P50-90
0.08744001388549805,0.12773403525352478,-0.007779180072247982,0.9185740351676941,4372630,mp2,test,1,persistence,P90-99
1.8762296438217163,1.9454760551452637,-1.8762296438217163,-17.888681411743164,4372631,mp2,test,1,climatology,P90-99
0.10129159688949585,0.15366636216640472,-0.016331683844327927,0.8999651670455933,485860,mp2,test,1,persistence,P99+
3.5285329818725586,3.576789379119873,-3.5285329818725586,-53.197837829589844,485862,mp2,test,1,climatology,P99+
0.2003340870141983,0.284006267786026,-8.845256161293946e-06,0.9487131834030151,48582276,mp2,test,3,persistence,all
0.8262680768966675,1.0452286005020142,0.053979404270648956,0.30536597967147827,48582825,mp2,test,3,climatology,all
0.1797051578760147,0.25613829493522644,0.02800135873258114,0.8575493097305298,24291346,mp2,test,3,persistence,P0-50
0.835572361946106,0.955264687538147,0.7678502798080444,-0.9811273813247681,24291861,mp2,test,3,climatology,P0-50
0.21448181569576263,0.30000191926956177,-0.0194037277251482,0.6269303560256958,19432673,mp2,test,3,persistence,P50-90
0.5108250975608826,0.6473919749259949,-0.3145173490047455,-0.7373054027557373,19432695,mp2,test,3,climatology,P50-90
0.24270480871200562,0.3382978141307831,-0.057041894644498825,0.4288598299026489,4372401,mp2,test,3,persistence,P90-99
1.8762530088424683,1.9454989433288574,-1.8762530088424683,-17.888879776000977,4372407,mp2,test,3,climatology,P90-99
0.2845459282398224,0.39441972970962524,-0.11144055426120758,0.34096574783325195,485856,mp2,test,3,persistence,P99+
3.5285329818725586,3.576789379119873,-3.5285329818725586,-53.197837829589844,485862,mp2,test,3,climatology,P99+
0.34737417101860046,0.48467156291007996,-3.21660190820694e-05,0.8506343364715576,48578400,mp2,test,6,persistence,all
0.8262814283370972,1.0452452898025513,0.05399137735366821,0.3053562045097351,48579498,mp2,test,6,climatology,all
0.3059476613998413,0.4315275251865387,0.08080678433179855,0.5956329107284546,24289406,mp2,test,6,persistence,P0-50
0.8355861902236938,0.9552761316299438,0.7678689360618591,-0.981188178062439,24290426,mp2,test,6,climatology,P0-50
